Product,Cycle time,Priority,,,,Remark: ,"Priority = 0, if the product has no production; Priority if equal for all the products, longest cycle time product runs first; Priority if different for all the products, (cylce time * priority) max runs first"
A400M.1,12.43,1,,,,,
A400M.1,12.43,0.1,,,,,
A400M.2,12.43,1,,,,,
A400M.2,12.43,0.1,,,,,
A400M.3,12.43,1,,,,,
A400M.3,12.43,0.1,,,,,
A400M.3,12.43,0.01,,,,,
A400M.4,12.43,1,,,,,
A400M.4,12.43,0.1,,,,,
A400M.4,12.43,0.01,,,,,
A400M.4,12.43,0.001,,,,,
A400M.5,12.43,1,,,,,
A400M.5,12.43,0.1,,,,,
A400M.5,12.43,0.01,,,,,
A400M.6,12.43,1,,,,,
A400M.6,12.43,0.1,,,,,
A400M.6,12.43,0.01,,,,,
A400M.7,12.43,1,,,,,
A400M.7,12.43,0.1,,,,,
A400M.7,12.43,0.01,,,,,
A400M.7,12.43,0.001,,,,,
A400M.8,12.43,1,,,,,
A400M.8,12.43,0.1,,,,,
A400M.8,12.43,0.01,,,,,
A400M.8,12.43,0.001,,,,,
A400M.9,12.43,1,,,,,
A400M.9,12.43,0.1,,,,,
A400M.9,12.43,0.01,,,,,
A400M.9,12.43,0.001,,,,,
A400M.10,12.43,1,,,,,
A400M.10,12.43,0.1,,,,,
A400M.11,12.43,1,,,,,
A400M.11,12.43,0.1,,,,,
A400M.12,12.43,1,,,,,
A400M.12,12.43,0.1,,,,,
A400M.12,12.43,0.01,,,,,
A400M.13,8.72,1,,,,,
A400M.14,8.72,1,,,,,
A400M.15,8.72,1,,,,,
A400M.16,8.72,1,,,,,
A400M.17,10.35,1,,,,,
A400M.17,10.35,0.1,,,,,
A400M.17,10.35,0.01,,,,,
A400M.18,10.35,1,,,,,
A400M.18,10.35,0.1,,,,,
A400M.18,10.35,0.01,,,,,
A400M.19,10.35,1,,,,,
A400M.19,10.35,0.1,,,,,
A400M.19,10.35,0.01,,,,,
A400M.20,10.35,1,,,,,
A400M.20,10.35,0.1,,,,,
A400M.20,10.35,0.01,,,,,
